year,rank,song,name,peak,previous,streak,streams,movement
2023,77, Thought You Should Know,Morgan Wallen,18,18,18,2938785,59
2023,78, Ditto,NewJeans,34,34,34,2927841,44
2023,79, Boy's a Liar,PinkPantheress,48,48,48,2884905,31
2023,80, Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,17,17,17,2860063,63
2023,81, Don't Stop The Music,Rihanna,81,81,81,2843353,0
2023,82, Everything I Love,Morgan Wallen,35,35,35,2780970,47
2023,83, Late Night Talking,Harry Styles,2,2,2,2778202,81
2023,84, Starboy,The Weeknd,3,3,3,2776869,81
2023,85, Wet Dreamz,J. Cole,69,69,69,2772356,16
2023,86, Good Days,SZA,1,1,1,2759227,85
2023,87, Out thë way,Yeat,47,47,47,2756301,40
2023,88, La Bachata,Manuel Turizo,48,48,48,2730118,40
2023,89, Where Have You Been,Rihanna,89,89,89,2721856,0
2023,90, Space Song,Beach House,47,47,47,2703328,43
2023,91, La Jumpa,Arcángel,43,43,43,2702876,48
2023,92, Blind,SZA,5,5,5,2694215,87
2023,93, Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,93,93,93,2691242,0
2023,94, One Thing At A Time,Morgan Wallen,31,31,31,2681379,63
2023,95, Ghost in the Machine (feat. Phoebe Bridgers),SZA,17,17,17,2673641,78
2023,96, Special (feat. SZA),Lizzo,96,96,96,2667104,0
2023,97, Heat Waves,Glass Animals,1,1,1,2658258,96
2023,98, Pink + White,Frank Ocean,76,76,76,2638789,22
2023,99, Everlong,Foo Fighters,60,60,60,2637894,39
2023,100, Made You Look,Meghan Trainor,27,27,27,2603313,73
2023,101, Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,10,10,10,2600189,91
2023,102, About Damn Time,Lizzo,6,6,6,2597008,96
2023,103, I Wanna Be Yours,Arctic Monkeys,62,62,62,2590421,41
2023,104, S&M,Rihanna,104,104,104,2587896,0
2023,105, ALL MINE,Brent Faiyaz,22,22,22,2556261,83
2023,106, HOTEL LOBBY (Unc & Phew),Quavo,61,61,61,2550898,45
2023,107, Work,Rihanna,57,57,57,2546091,50
2023,108, Pour It Up,Rihanna,108,108,108,2542278,0
2023,109, Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,7,7,7,2539866,102
2023,110, Tennessee Whiskey,Chris Stapleton,98,98,98,2517150,12
2023,111, Efecto,Bad Bunny,10,10,10,2510316,101
2023,112," Hey, Mickey!",Baby Tate,39,39,39,2489839,73
2023,113, STAY (with Justin Bieber),The Kid LAROI,1,1,1,2477399,112
2023,114, Lovers Rock,TV Girl,101,101,101,2463137,13
2023,115, All Girls Are The Same,Juice WRLD,13,13,13,2420871,102
2023,116, See You Again (feat. Kali Uchis),"Tyler, The Creator",28,28,28,2419770,88
2023,117, Revenge,XXXTENTACION,25,25,25,2403881,92
2023,118, Drip Too Hard (Lil Baby & Gunna),Lil Baby,1,1,1,2393793,117
2023,119, No Se Va - EN VIVO,Grupo Frontera,49,49,49,2387408,70
2023,120, Apocalypse,Cigarettes After Sex,49,49,49,2376269,71
2023,121, The Hills,The Weeknd,27,27,27,2374875,94
2023,122, Bound 2,Kanye West,20,20,20,2353455,102
2023,123, Yandel 150,Yandel,120,120,120,2349635,3
2023,124, Disturbia,Rihanna,83,83,83,2345106,41
2023,125, Rude Boy,Rihanna,125,125,125,2337320,0
2023,126, Glimpse of Us,Joji,1,1,1,2329370,125
2023,127, Gato de Noche,Ñengo Flow,38,38,38,2317735,89
2023,128, Flashing Lights,Kanye West,53,53,53,2315205,75
2023,129, Whiskey Glasses,Morgan Wallen,43,43,43,2313834,86
2023,130, Pure Cocaine,Lil Baby,52,52,52,2290899,78
2023,131, Yes Indeed,Lil Baby,2,2,2,2283349,129
2023,132, SLUT ME OUT,NLE Choppa,132,132,132,2275494,0
2023,133, Bones,Imagine Dragons,52,52,52,2273713,81
2023,134, Don't,Bryson Tiller,82,82,82,2272295,52
2023,135, Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,7,7,7,2267525,128
2023,136, Under The Influence,Chris Brown,22,22,22,2266103,114
2023,137, I Wish you Roses,Kali Uchis,37,37,37,2250809,100
2023,138, The Spins,Mac Miller,61,61,61,2250746,77
2023,139, I Was Never There,The Weeknd,8,8,8,2247652,131
2023,140, When I Was Your Man,Bruno Mars,111,111,111,2231150,29
2023,141, LOVE. FEAT. ZACARI.,Kendrick Lamar,5,5,5,2230489,136
2023,142, Chasin' You,Morgan Wallen,55,55,55,2214557,87
2023,143, Heading South,Zach Bryan,70,70,70,2207539,73
2023,144, Me and Your Mama,Childish Gambino,49,49,49,2203621,95
2023,145, Fact (feat. Lil Uzi Vert),Ghostluvme,145,145,145,2201378,0
2023,146, X SI VOLVEMOS,KAROL G,54,54,54,2199577,92
2023,147, Blinding Lights,The Weeknd,1,1,1,2186800,146
2023,148, Fin de Semana,Oscar Maydon,85,85,85,2176064,63
2023,149, Until I Found You,Stephen Sanchez,30,30,30,2172517,119
2023,150, Star Shopping,Lil Peep,100,100,100,2169464,50
2023,151, Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1,1,1,2167821,150
2023,152, HUMBLE.,Kendrick Lamar,1,1,1,2159492,151
2023,153, 10:35,Tiësto,105,105,105,2158952,48
2023,154, Glue Song,beabadoobee,154,154,154,2145273,0
2023,155, Midnight Rain,Taylor Swift,3,3,3,2137627,152
2023,156, Spin Bout U,Drake,6,6,6,2134958,150
2023,157, Knife Talk (with 21 Savage ft. Project Pat),Drake,2,2,2,2134605,155
2023,158, 20 Min,Lil Uzi Vert,48,48,48,2126709,110
2023,159, All The Stars (with SZA),Kendrick Lamar,2,2,2,2125883,157
2023,160, Pussy & Millions (feat. Travis Scott),Drake,3,3,3,2122690,157
2023,161, Mr. Brightside,The Killers,60,60,60,2121503,101
2023,162, Running Out Of Time,Paramore,162,162,162,2114635,0
2023,163, Break from Toronto,PARTYNEXTDOOR,110,110,110,2111829,53
2023,164, Ric Flair Drip (with Metro Boomin),Offset,4,4,4,2107291,160
2023,165, Ni**as In Paris,JAY-Z,107,107,107,2098498,58
2023,166, PUFFIN ON ZOOTIEZ,Future,4,4,4,2091186,162
2023,167, Lucid Dreams,Juice WRLD,1,1,1,2083399,166
2023,168, I Love You So,The Walters,9,9,9,2078988,159
2023,169, Clouded,Brent Faiyaz,65,65,65,2077946,104
2023,170, What My World Spins Around,Jordan Davis,125,125,125,2069154,45
2023,171, Sun to Me,Zach Bryan,106,106,106,2063561,65
2023,172, Growin' Up and Gettin' Old,Luke Combs,86,86,86,2058231,86
2023,173, PRIDE.,Kendrick Lamar,10,10,10,2057870,163
2023,174, Wants and Needs (feat. Lil Baby),Drake,2,2,2,2057542,172
2023,175, Solo,Future,123,123,123,2056752,52
2023,176, Girl With The Tattoo Enter.lewd,Miguel,101,101,101,2051689,75
2023,177, Another Love,Tom Odell,89,89,89,2049660,88
2023,178, Love Sosa,Chief Keef,44,44,44,2048771,134
2023,179, Thank God,Kane Brown,55,55,55,2048376,124
2023,180, ORANGE SODA,Baby Keem,54,54,54,2045169,126
2023,181," Sex, Drugs, Etc.",Beach Weather,61,61,61,2044526,120
2023,182, Everybody Wants To Rule The World,Tears For Fears,49,49,49,2033255,133
2023,183, Pain,PinkPantheress,48,48,48,2029781,135
2023,184, Redbone,Childish Gambino,9,9,9,2022690,175
2023,185, MIDDLE CHILD,J. Cole,1,1,1,2020888,184
2023,186, Love The Way You Lie,Eminem,186,186,186,2013590,0
2023,187, It Was A Good Day,Ice Cube,100,100,100,2012247,87
2023,188, Heart Like A Truck,Lainey Wilson,148,148,148,2011049,40
2023,189, Limbo,Freddie Dredd,94,94,94,2004184,95
2023,190, Heartless,The Weeknd,1,1,1,1995889,189
2023,191, Father Stretch My Hands Pt. 1,Kanye West,97,97,97,1993876,94
2023,192, For the First Time,Mac DeMarco,154,154,154,1990859,38
2023,193, Chamber Of Reflection,Mac DeMarco,125,125,125,1984066,68
2023,194, Mockingbird,Eminem,109,109,109,1981483,85
2023,195, Ojitos Lindos,Bad Bunny,11,11,11,1981392,184
2023,196, HONEST,Baby Keem,39,39,39,1976026,157
2023,197, TV,Billie Eilish,18,18,18,1975509,179
2023,198, Pon de Replay,Rihanna,198,198,198,1969064,0
2023,199, Runnin,21 Savage,3,3,3,1958386,196
2023,200, Stick Season,Noah Kahan,43,43,43,1949123,157
2024,1, CARNIVAL,¥$,1,1,1,13625689,0
2024,2, Stick Season,Noah Kahan,2,2,2,11205319,0
2024,3, Beautiful Things,Benson Boone,1,1,1,11134129,2
2024,4, redrum,21 Savage,1,1,1,8996735,3
2024,5, I Remember Everything (feat. Kacey Musgraves),Zach Bryan,1,1,1,8837536,4
2024,6, TEXAS HOLD 'EM,Beyoncé,6,6,6,8680551,0
2024,7, Lovin On Me,Jack Harlow,1,1,1,8421058,6
2024,8, Never Lose Me,Flo Milli,6,6,6,7823533,2
2024,9, La Diabla,Xavi,6,6,6,7524405,3
2024,10, FUK SUMN,¥$,10,10,10,7489217,0
2024,11, My Love Mine All Mine,Mitski,3,3,3,7297239,8
2024,12, BURN,¥$,12,12,12,7219214,0
2024,13, Forever,Noah Kahan,13,13,13,7218470,0
2024,14, Cruel Summer,Taylor Swift,2,2,2,7202178,12
2024,15, TALKING,¥$,15,15,15,7152035,0
2024,16, BACK TO ME,¥$,16,16,16,7092237,0
2024,17, greedy,Tate McRae,4,4,4,6463415,13
2024,18, Snooze,SZA,10,10,10,6368167,8
2024,19, Lose Control,Teddy Swims,12,12,12,6286391,7
2024,20, STARS,¥$,20,20,20,6229028,0
2024,21, ONE CALL,Rich Amiri,14,14,14,6203562,7
2024,22, 500lbs,Lil Tecca,12,12,12,6013919,10
2024,23, Something in the Orange,Zach Bryan,4,4,4,5847504,19
2024,24, Yeah! (feat. Lil Jon & Ludacris),USHER,24,24,24,5654162,0
2024,25, La Víctima,Xavi,16,16,16,5355498,9
2024,26, Last Night,Morgan Wallen,1,1,1,5345678,25
2024,27, DO IT,¥$,27,27,27,5324222,0
2024,28, PAID,¥$,28,28,28,5279563,0
2024,29, Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,11,11,11,5192885,18
2024,30, FE!N (feat. Playboi Carti),Travis Scott,2,2,2,5072466,28
2024,31, Father Stretch My Hands Pt. 1,Kanye West,31,31,31,5040625,0
2024,32, I KNOW ?,Travis Scott,3,3,3,5006308,29
2024,33, Surround Sound (feat. 21 Savage & Baby Tate),JID,11,11,11,5001876,22
2024,34, KEYS TO MY LIFE,¥$,34,34,34,4927468,0
2024,35, vampire,Olivia Rodrigo,1,1,1,4833658,34
2024,36, VULTURES,¥$,36,36,36,4813145,0
2024,37," One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,18,18,18,4672341,19
2024,38, IDGAF (feat. Yeat),Drake,1,1,1,4602015,37
2024,39, Igual Que Un Ángel (with Peso Pluma),Kali Uchis,10,10,10,4586063,29
2024,40, act ii: date @ 8,4batz,27,27,27,4529512,13
2024,41, Fast Car,Luke Combs,4,4,4,4525309,37
2024,42, Agora Hills,Doja Cat,6,6,6,4494900,36
2024,43, Feather,Sabrina Carpenter,20,20,20,4482876,23
2024,44, PAPERWORK,¥$,44,44,44,4472608,0
2024,45, Heartless,Kanye West,40,40,40,4361521,5
2024,46, Thinkin’ Bout Me,Morgan Wallen,9,9,9,4355215,37
2024,47, BEG FORGIVENESS,¥$,47,47,47,4325204,0
2024,48, Bandit,Don Toliver,15,15,15,4319829,33
2024,49, No Role Modelz,J. Cole,10,10,10,4316718,39
2024,50, HISS,Megan Thee Stallion,3,3,3,4308367,47
2024,51, Popular (with Playboi Carti & Madonna),The Weeknd,16,16,16,4282209,35
2024,52, Praise Jah In The Moonlight,YG Marley,41,41,41,4251408,11
2024,53," What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,6,6,6,4245890,47
2024,54, Kill Bill,SZA,1,1,1,4241631,53
2024,55, Home,Good Neighbours,38,38,38,4219830,17
2024,56, First Person Shooter (feat. J. Cole),Drake,2,2,2,4215207,54
2024,57, Paint The Town Red,Doja Cat,1,1,1,4191624,56
2024,58, Pink + White,Frank Ocean,30,30,30,4188905,28
2024,59, HOODRAT,¥$,59,59,59,4174357,0
2024,60, Think U The Shit (Fart),Ice Spice,21,21,21,4166399,39
2024,61," yes, and?",Ariana Grande,1,1,1,4165263,60
2024,62, fukumean,Gunna,1,1,1,4151133,61
2024,63, Lovers Rock,TV Girl,38,38,38,4035683,25
2024,64, See You Again (feat. Kali Uchis),"Tyler, The Creator",5,5,5,4029827,59
2024,65, Flowers,Miley Cyrus,1,1,1,4003457,64
2024,66, Heading South,Zach Bryan,36,36,36,3937976,30
2024,67, My Boo,USHER,67,67,67,3924116,0
2024,68, exes,Tate McRae,16,16,16,3904834,52
2024,69, PROBLEMATIC,¥$,69,69,69,3841374,0
2024,70, Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,1,1,3795406,69
2024,71, Que Onda,Calle 24,40,40,40,3784320,31
2024,72, You Proof,Morgan Wallen,8,8,8,3732531,64
2024,73, Shut up My Moms Calling,Hotel Ugly,29,29,29,3714536,44
2024,74, Wasted On You,Morgan Wallen,3,3,3,3690844,71
2024,75, Lover,Taylor Swift,1,1,1,3594333,74
2024,76, Flashing Lights,Kanye West,53,53,53,3594133,23
2024,77, Should've Been A Cowboy,Toby Keith,77,77,77,3546501,0
2024,78, 16 CARRIAGES,Beyoncé,78,78,78,3536332,0
2024,79, Anti-Hero,Taylor Swift,1,1,1,3522995,78
2024,80, née-nah,21 Savage,5,5,5,3495828,75
2024,81, HARLEY QUINN,Fuerza Regida,20,20,20,3493987,61
2024,82, Scared To Start,Michael Marcagi,63,63,63,3444584,19
2024,83, Not Allowed,TV Girl,39,39,39,3436790,44
2024,84, Evergreen,Richy Mitch & The Coal Miners,63,63,63,3407149,21
2024,85, DJ Got Us Fallin' In Love (feat. Pitbull),USHER,85,85,85,3401011,0
2024,86, Romantic Homicide,d4vd,3,3,3,3384094,83
2024,87, FTCU,Nicki Minaj,7,7,7,3369495,80
2024,88, Stargirl Interlude,The Weeknd,56,56,56,3365094,32
2024,89, Mmhmm,BigXthaPlug,62,62,62,3327393,27
2024,90, Sweater Weather,The Neighbourhood,13,13,13,3325469,77
2024,91, Poison - Hazbin Hotel Original Soundtrack,Blake Roman,78,78,78,3323558,13
2024,92, Dial Drunk (with Post Malone),Noah Kahan,13,13,13,3319888,79
2024,93, Murder On The Dancefloor,Sophie Ellis-Bextor,28,28,28,3319130,65
2024,94," Loser, Baby",Andrew Underberg,71,71,71,3316305,23
2024,95, Runaway,Kanye West,63,63,63,3298826,32
2024,96, Water,Tyla,23,23,23,3296666,73
2024,97, Hey Driver (feat. The War and Treaty),Zach Bryan,3,3,3,3268939,94
2024,98, Spin You Around (1/24),Morgan Wallen,29,29,29,3255952,69
2024,99, Die For You,The Weeknd,8,8,8,3255184,91
2024,100, MY EYES,Travis Scott,8,8,8,3197162,92
2024,101, PERRO NEGRO,Bad Bunny,10,10,10,3180531,91
2024,102, Strangers,Kenya Grace,17,17,17,3180059,85
2024,103, Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,2,2,2,3177149,101
2024,104, The Color Violet,Tory Lanez,26,26,26,3160782,78
2024,105, Riptide,Vance Joy,67,67,67,3154263,38
2024,106, BELLAKEO,Peso Pluma,35,35,35,3143231,71
2024,107, Daylight,David Kushner,11,11,11,3129174,96
2024,108, I Wanna Be Yours,Arctic Monkeys,62,62,62,3101166,46
2024,109, Deeper Well,Kacey Musgraves,109,109,109,3096470,0
2024,110, QLONA,KAROL G,16,16,16,3092823,94
2024,111, Love Me,Lil Wayne,79,79,79,3090472,32
2024,112, You Should Probably Leave,Chris Stapleton,96,96,96,3087053,16
2024,113, KING,¥$,113,113,113,3082274,0
2024,114, Jimmy Cooks (feat. 21 Savage),Drake,2,2,2,3066274,112
2024,115, Dance The Night - From Barbie The Album,Dua Lipa,9,9,9,3061842,106
2024,116, Dark Red,Steve Lacy,16,16,16,3051579,100
2024,117, Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1,1,1,3050163,116
2024,118, Unwritten,Natasha Bedingfield,85,85,85,3029973,33
2024,119, Break from Toronto,PARTYNEXTDOOR,67,67,67,3021738,52
2024,120, All My Love,Noah Kahan,120,120,120,3007063,0
2024,121, Don’t Blame Me,Taylor Swift,49,49,49,2993879,72
2024,122, cardigan,Taylor Swift,1,1,1,2989964,121
2024,123, Sure Thing,Miguel,10,10,10,2977621,113
2024,124, Just the Way You Are,Bruno Mars,108,108,108,2971950,16
2024,125, All The Stars (with SZA),Kendrick Lamar,2,2,2,2968091,123
2024,126, Wild Ones (feat. Jelly Roll),Jessie Murph,79,79,79,2960798,47
2024,127, Thinkin Bout You,Frank Ocean,89,89,89,2946791,38
2024,128, Wondering Why,The Red Clay Strays,83,83,83,2943206,45
2024,129, Good Days,SZA,1,1,1,2929131,128
2024,130, Starboy,The Weeknd,3,3,3,2909395,127
2024,131, Hey Daddy (Daddy's Home),USHER,131,131,131,2905660,0
2024,132, One Dance,Drake,13,13,13,2902662,119
2024,133, Dreams - 2004 Remaster,Fleetwood Mac,6,6,6,2887019,127
2024,134, Karma,Taylor Swift,5,5,5,2883977,129
2024,135, Nonsense,Sabrina Carpenter,15,15,15,2857036,120
2024,136, Oklahoma Smokeshow,Zach Bryan,73,73,73,2856355,63
2024,137, Dial Drunk,Noah Kahan,3,3,3,2853383,134
2024,138, Tennessee Whiskey,Chris Stapleton,92,92,92,2839207,46
2024,139, Hell’s Greatest Dad,Andrew Underberg,114,114,114,2823538,25
2024,140, Linger,The Cranberries,133,133,133,2809352,7
2024,141, Love in This Club (feat. Young Jeezy),USHER,141,141,141,2807377,0
2024,142, Stayed Gone,Andrew Underberg,129,129,129,2803392,13
2024,143, Made For Me,Muni Long,143,143,143,2786667,0
2024,144, Coal,Dylan Gossett,144,144,144,2784170,0
2024,145, Northern Attitude,Noah Kahan,145,145,145,2781293,0
2024,146, Mr. Brightside,The Killers,50,50,50,2778650,96
2024,147, Apocalypse,Cigarettes After Sex,49,49,49,2776231,98
2024,148, Money Trees,Kendrick Lamar,41,41,41,2775395,107
2024,149, Love,Keyshia Cole,149,149,149,2766878,0
2024,150, Houdini,Dua Lipa,18,18,18,2760522,132
2024,151, When I Was Your Man,Bruno Mars,101,101,101,2748108,50
2024,152, LOVE. FEAT. ZACARI.,Kendrick Lamar,5,5,5,2741666,147
2024,153, Poco A Poco,Xavi,115,115,115,2741444,38
2024,154, On My Mama,Victoria Monét,154,154,154,2726593,0
2024,155, Let's Go,Key Glock,155,155,155,2725178,0
2024,156, From The Start,Laufey,45,45,45,2722761,111
2024,157, Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,10,10,10,2722164,147
2024,158, Ella Baila Sola,Eslabon Armado,1,1,1,2717711,157
2024,159, The Night We Met,Lord Huron,48,48,48,2717185,111
2024,160, Cigarettes out the Window,TV Girl,94,94,94,2697221,66
2024,161, Fast Car,Tracy Chapman,123,123,123,2693100,38
2024,162, LADY GAGA,Peso Pluma,7,7,7,2688137,155
2024,163, I Wonder,Kanye West,57,57,57,2680383,106
2024,164, Trance (feat. Travis Scott & Young Thug),Metro Boomin,20,20,20,2650074,144
2024,165, Dawns (feat. Maggie Rogers),Zach Bryan,17,17,17,2643016,148
2024,166, HUMBLE.,Kendrick Lamar,1,1,1,2638132,165
2024,167, Cowgirls (feat. ERNEST),Morgan Wallen,32,32,32,2635950,135
2024,168, Clouded,Brent Faiyaz,39,39,39,2635431,129
2024,169, Make You Mine,Madison Beer,169,169,169,2629841,0
2024,170, The Hills,The Weeknd,27,27,27,2628451,143
2024,171, Let The Light In (feat. Father John Misty),Lana Del Rey,171,171,171,2617638,0
2024,172, Everlong,Foo Fighters,60,60,60,2614999,112
2024,173, Moonlight,Kali Uchis,27,27,27,2610983,146
2024,174, I Love You So,The Walters,9,9,9,2604178,165
2024,175, Best Time,Brent Faiyaz,163,163,163,2603381,12
2024,176, Have You Ever Seen The Rain,Creedence Clearwater Revival,140,140,140,2581524,36
2024,177," Burn, Burn, Burn",Zach Bryan,68,68,68,2575857,109
2024,178, Work Song,Hozier,174,174,174,2572066,4
2024,179, Pretty Little Poison,Warren Zeiders,116,116,116,2569939,63
2024,180, All Falls Down,Kanye West,109,109,109,2567963,71
2024,181, Everybody Wants To Rule The World,Tears For Fears,49,49,49,2557641,132
2024,182, Pain,PinkPantheress,48,48,48,2554360,134
2024,183, You’re Gonna Go Far,Noah Kahan,64,64,64,2538910,119
2024,184, all of me,21 Savage,13,13,13,2538169,171
2024,185, Work Out,J. Cole,101,101,101,2513954,84
2024,186, The Middle,Jimmy Eat World,186,186,186,2504773,0
2024,187, Novacane,Frank Ocean,90,90,90,2504481,97
2024,188, Homesick,Noah Kahan,188,188,188,2502452,0
2024,189, Yes Indeed,Lil Baby,2,2,2,2502177,187
2024,190, Fortunate Son,Creedence Clearwater Revival,107,107,107,2496283,83
2024,191, LUNA,Feid,157,157,157,2487312,34
2024,192, 505,Arctic Monkeys,18,18,18,2486967,174
2024,193, Tourniquet,Zach Bryan,10,10,10,2484954,183
2024,194, Gold Digger,Kanye West,194,194,194,2479997,0
2024,195, Yellow,Coldplay,179,179,179,2479483,16
2024,196, Beautiful Crazy,Luke Combs,61,61,61,2476593,135
2024,197, Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,197,197,197,2473098,0
2024,198, Wet Dreamz,J. Cole,69,69,69,2471236,129
2024,199, Everybody (feat. Lil Uzi Vert),Nicki Minaj,27,27,27,2467374,172
2024,200, Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,21,21,21,2459806,179
